"","Phenotype_Name","Phenotype_Discription","Phenotype_Symptoms","Phenotype_Treatment","Phenotype_Age","Phenotype_Gender","Phenotype_Number"
"429","Hallux rigidus","""Hallux"" refers to the big toe, ""limitus"" and ""rigidus"" indicate that movement of the big toe is either limited or progressed to being rigid. It is actually a form of degenerative arthritis (a wearing out of the cartilage within the joint that occurs in the foot and other parts of the body). ","Pain;Fatigue;Anxious mood;Depressed mood;Insomnia","Clonazepam;Acetaminophen (Paracetamol);Amitriptyline;Bach flowers;Energetix Fields of Flowers;Energetix Relax -Tone;Hydrocodone-Acetaminophen;Osteotomy of foot;Pregabalin;St. John's Wort","<20;0;20s;0;30s;6;40s;8;50s;14;60s;9;70+;1","Female=50%;Male=50%",429
"430","Pleurisy","Pleurisy is the inflammation of the lining of the lungs and chest (the pleura). Symptoms include sharp chest pain.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Amitriptyline;
more
;Hydrocodone-Acetaminophen;Lorazepam;Oxycodone-acetaminophen;Duloxetine;
more
;Tramadol;Clonazepam;Diclofenac;Melatonin;Oxycodone","<20;0;20s;13;30s;30;40s;65;50s;48;60s;20;70+;6","Female=90%;Male=10%",430
"431","Trichotillomania","Trichotillomania is a disorder characterized by noticeable hair-loss due to a recurrent failure to resist impulses to pull out hairs.","Fatigue;Anxious mood;Depressed mood;Insomnia;Pain","Clonazepam;
more
;Doxepin;Acetaminophen (Paracetamol);Fluoxetine;Hydrocodone-Acetaminophen;
more
;Ibuprofen;Sertraline;Buspirone;Citalopram;Escitalopram","<20;6;20s;42;30s;42;40s;27;50s;14;60s;5;70+;1","Female=93%;Male=7%",431
"432","Ventricular septal defect","A ventricular septal defect is a defect in the wall dividing the left and right ventricles of the heart. A loud harsh murmur at the lower left border of the sternum is common.","Anxious mood;Fatigue;Pain;Insomnia;Depressed mood","Alprazolam;Duloxetine;Lorazepam;Rehabilitation Physical Therapy;Tadalafil;Trazodone","<20;7;20s;13;30s;7;40s;5;50s;11;60s;3;70+;1","Female=54%;Male=46%",432
"433","Ocular hypertension","Ocular hypertension is an increase in the pressure in your eyes that is above the range considered normal with no detectable changes in vision or damage to the structure of your eyes. The term is used to distinguish people with elevated pressure from those with glaucoma.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Latanoprost ophthalmic;Brimonidine ophthalmic;Ibuprofen;Ketorolac;Meloxicam;Multivitamins;Neuromuscular Electrical Stimulation;Pregabalin;Tramadol;Tramadol-acetaminophen","<20;0;20s;0;30s;2;40s;4;50s;8;60s;5;70+;0","Female=79%;Male=21%",433
"434","Demyelinating disease of central nervous system","Myelin sheaths cover nerve fibers and accelerate nerve transmission in the central and peripheral nervous system. Demyelinating disease of the central nervous system most commonly affects the myelin sheath of neurons in the brain, spinal cord and optic nerve.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","5-Hydroxytryptophan (5-HTP);Biotin;Cannabis;Cortisone Injection;Duloxetine;Grape Seed Extract;Hospitalization;Meloxicam;Methylprednisolone;Omega 3-6-9 Fatty Acids","<20;0;20s;6;30s;14;40s;20;50s;37;60s;12;70+;8","Female=76%;Male=24%",434
"435","Dermatofibroma","Dermatofibromas are hard papules (rounded bumps) that may appear in a variety of colors, usually brownish to tan.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","Hydrocodone-Acetaminophen;Lorazepam;Venlafaxine;Vitamin B12 (methylcobalamin)","<20;0;20s;1;30s;1;40s;3;50s;1;60s;0;70+;0","Female=60%;Male=40%",435
"436","Bladder infection (infective cystitis)","Bladder infections, also known as infective cystitis, is the inflammation of the bladder due to infection from bacterial, fungal or viral causes.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Gabapentin;
more
;Flupirtine;Ibuprofen-Diphenhydramine","<20;0;20s;3;30s;4;40s;4;50s;8;60s;6;70+;3","Female=93%;Male=7%",436
"437","Thyroid nodule","Thyroid nodules are lumps which commonly arise within an otherwise normal thyroid gland. Most nodules are benign (non-cancerous). Benign causes include hyperplastic colloid goiter, thyroid cysts, thyroiditis, and thyroid adenomas.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Thyroidectomy;Gabapentin;
more
;Amitriptyline;
more
;Clonazepam;Escitalopram;Hydrocodone-Acetaminophen;
more
;Partial thyroidectomy;Tramadol;
more
;Diazepam;Diclofenac","<20;2;20s;19;30s;49;40s;109;50s;122;60s;79;70+;23","Female=90%;Male=10%",437
"438","Dysautonomia","Dysautonomia is a broad term that describes any disease or malfunction of the autonomic nervous system. It can be local, as in reflex sympathetic dystrophy, or generalized, as in pure autonomic failure. It can be acute and reversible, as in Guillain-Barre syndrome, or chronic and progressive.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Tramadol;Acetaminophen (Paracetamol);Amitriptyline;
more
;Buspirone;
more
;Gabapentin;Hydrocodone-Acetaminophen;Pregabalin;
more
;Therapeutic brace;Trazodone;Wheelchair (manual);
more
","<20;11;20s;68;30s;81;40s;85;50s;72;60s;34;70+;7","Female=90%;Male=10%",438
"439","Peripheral arterial disease","Peripheral arterial disease or peripheral artery occlusive disease refers to the atherosclerosis (obstruction or narrowing) of arteries in the peripheral vascular system. This does not include coronary (heart) arteries, the aorta, or arteries in the brain.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Diclofenac;Tramadol;Alprazolam;Amphetamine-Dextroamphetamine;Aspirin;Below Knee Amputation (left);Buprenorphine patch;Cilostazol;Clopidogrel;Desvenlafaxine","<20;0;20s;1;30s;10;40s;30;50s;61;60s;64;70+;31","Female=69%;Male=31%",439
"440","Urge incontinence","Urge incontinence is uncontrolled urine leakage (of moderate to large volume) that occurs immediately after an urgent, irrepressible need to void. Nocturia and nocturnal incontinence are common. It is the most common type of incontinence in the elderly but may affect younger people as well.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Hydroxyzine;Oxybutynin;Amantadine;Amitriptyline;Bupropion;Clonazepam;Duloxetine;Gabapentin;Meditation;Sertraline","<20;0;20s;4;30s;13;40s;35;50s;51;60s;27;70+;14","Female=86%;Male=14%",440
"441","Diverticulosis","Diverticulitis is swelling (inflammation) of an abnormal pouch (diverticulum) in the intestinal wall. These pouches are usually found in the large intestine (colon). The presence of the pouches themselves is called diverticulosis.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Gabapentin;Tramadol;
more
;Sertraline;
more
;High fiber diet;Hydrocodone-Acetaminophen;Alprazolam;Duloxetine;Melatonin;Meloxicam;Trazodone","<20;0;20s;4;30s;29;40s;61;50s;126;60s;78;70+;19","Female=87%;Male=13%",441
"442","Urinary incontinence","Urinary incontinence is the loss of bladder control which can greatly reduce quality of life by causing embarrassment, stigmatization, isolation, and depression. It may present as a near-constant dribbling or as intermittent urination with or without awareness of the need to void.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Oxybutynin;
more
;Tolterodine;
more
;Gabapentin;
more
;Duloxetine;
more
;Tramadol;
more
;Venlafaxine;
more
;Amitriptyline;
more
;Clonazepam;Hydrocodone-Acetaminophen;
more
;Ibuprofen","<20;6;20s;37;30s;73;40s;180;50s;212;60s;172;70+;68","Female=81%;Male=19%",442
"443","Dyslexia","Dyslexia is a broad term defining a learning disability that impairs a person's fluency or accuracy in being able to read, speak, or spell which can manifest itself as delayed language production, speech articulation difficulties, and difficulty remembering names of letters, number and colors.","Fatigue;Anxious mood;Pain;Depressed mood;Insomnia","Clonazepam;Hydroxyzine;Propranolol;Acetaminophen (Paracetamol);Cyclobenzaprine;Fluoxetine;Trazodone;Amitriptyline;Aspirin;Buprenorphine patch","<20;9;20s;30;30s;35;40s;44;50s;21;60s;8;70+;2","Female=61%;Male=39%",443
"444","Delayed sleep phase syndrome","Delayed sleep phase syndrome is a circadian rhythm sleep disorder, a chronic disorder of the timing of sleep, peak period of alertness, the core body temperature rhythm, hormonal and other daily rhythms, compared to the normal population and relative to societal requirements.","Fatigue;Depressed mood;Anxious mood;Insomnia;Pain","Melatonin;
more
;Dextroamphetamine;Amitriptyline;Cyclobenzaprine;Duloxetine;
more
;Escitalopram;Fluoxetine;Methylphenidate;Paroxetine;Quetiapine;
more
","<20;1;20s;21;30s;51;40s;31;50s;27;60s;17;70+;6","Female=68%;Male=32%",444
"445","Wolff-Parkinson-White syndrome","Wolff-Parkinson-White syndrome is a condition in which episodes of fast heart rate (tachycardia) occur because of an abnormal extra electrical pathway in the heart. This results in a tachycardia known as an atrioventricular reentrant tachycardia.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Armodafinil;Bupropion;Amphetamine-Dextroamphetamine;Diclofenac;Diltiazem;Duloxetine;Flecainide;Juice Plus;Meditation;Methylphenidate","<20;1;20s;14;30s;13;40s;17;50s;18;60s;10;70+;5","Female=78%;Male=22%",445
"446","Tension headache","A common primary headache disorder, characterized by a dull, non-pulsatile, diffuse, band-like (or vice-like) pain of mild to moderate intensity in the head; scalp; or neck. There is no clear cause even though it has been associated with muscle contraction and stress.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Acetaminophen (Paracetamol);Amitriptyline;
more
;Tramadol;
more
;Ibuprofen;
more
;Gabapentin;
more
;Cyclobenzaprine;
more
;Duloxetine;
more
;Aspirin;
more
;Hydrocodone-Acetaminophen;
more
;Melatonin","<20;12;20s;213;30s;386;40s;360;50s;261;60s;116;70+;26","Female=75%;Male=25%",446
"447","Chronic headache disorder","Chronic headache, or chronic daily headache (CDH), is classified as experiencing fifteen or more days with a headache per month.","Pain;Fatigue;Anxious mood;Depressed mood;Insomnia","Gabapentin;
more
;Amitriptyline;
more
;Duloxetine;
more
;Ibuprofen;
more
;Botulinum Toxin Type A;Clonazepam;
more
;Diazepam;Fluoxetine;
more
;Hydrocodone-Acetaminophen;Pregabalin;
more
","<20;3;20s;61;30s;104;40s;120;50s;107;60s;42;70+;13","Female=83%;Male=17%",447
"448","Transverse myelitis","Transverse myelitis is a neurological disorder caused by inflammation across both sides of one level, or segment, of the spinal cord. Myelitis refers to inflammation of the spinal cord; transverse simply describes the position of the inflammation, that is, across the width of the spinal cord.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Azathioprine;Methylprednisolone;Plasmapheresis;Pregabalin;
more
;Tramadol;Amantadine;Amitriptyline;Cyclophosphamide;Duloxetine;Hydrocodone-Acetaminophen","<20;2;20s;9;30s;43;40s;52;50s;59;60s;48;70+;13","Female=79%;Male=21%",448
"449","Non-alcoholic fatty liver disease","Nonalcoholic fatty liver disease is a term used to describe the accumulation of fat in the liver of people who drink little or no alcohol. Most patients have no or few symptoms. Infrequently, patients may complain of fatigue, malaise, and dull right-upper-quadrant abdominal discomfort.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Alprazolam;
more
;Clonazepam;
more
;Fluoxetine;Venlafaxine;Buprenorphine patch;
more
;Bupropion;Gabapentin;Hydrocodone-Acetaminophen;
more
;Oxycodone;Tramadol;
more
","<20;4;20s;21;30s;66;40s;128;50s;174;60s;73;70+;9","Female=76%;Male=24%",449
"450","Personality disorder","Personality disorders are long-term patterns of thoughts and behaviors that cause serious problems with relationships and work. There are different types of personality disorders. When it is not clear which type applies the type may be described as Personality Disorder NOS.","Depressed mood;Fatigue;Anxious mood;Insomnia;Pain","Hydroxyzine;Gabapentin;Trazodone;Amphetamine-Dextroamphetamine;Clonazepam;Diazepam;Lisdexamfetamine;Alprazolam;Aripiprazole;Aromatherapy","<20;1;20s;21;30s;34;40s;45;50s;20;60s;6;70+;0","Female=78%;Male=22%",450
"451","Syphilis","Syphilis is a sexually transmitted disease caused by bacteria. It infects the genital area, lips, mouth, or anus of both men and women. Acquired infection is transmitted through sexual contact with an individual with early syphilis. It can be transmitted from mother to baby as a congenital infection","Fatigue;Anxious mood;Insomnia;Depressed mood;Pain","Penicillin G benzathine and procaine","<20;0;20s;2;30s;4;40s;4;50s;3;60s;1;70+;0","Female=29%;Male=71%",451
"452","Hemorrhoids","Hemorrhoids are painful, swollen veins in the lower portion of the rectum or anus.  They can be inside the anus (internal), under the skin around the anus (external), or protruding from inside to outside of the anus.","Pain;Fatigue;Anxious mood;Depressed mood;Insomnia","Amitriptyline;
more
;Buspirone;
more
;Duloxetine;
more
;Pregabalin;
more
;Gabapentin;Hydrocortisone topical;Hydroxyzine;Trazodone;Acetaminophen (Paracetamol);Citalopram;
more
","<20;1;20s;25;30s;69;40s;90;50s;87;60s;44;70+;15","Female=61%;Male=39%",452
"453","Neurally mediated hypotension","Low blood pressure from faulty brain signals (neurally mediated hypotension). This disorder causes blood pressure to drop after standing for long periods, leading to symptoms such as dizziness, nausea and fainting.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Alprazolam;Fludrocortisone;
more
;Tramadol;Alcohol;Amantadine;Cyclobenzaprine;Diclofenac;Duloxetine;Handicap/Disability Parking Permit;Isotretinoin","<20;2;20s;10;30s;13;40s;8;50s;13;60s;8;70+;5","Female=81%;Male=19%",453
"454","Mycotoxicosis","Mycotoxicosis is poisoning due to the ingestion of high levels of airborne mold spores.","Fatigue;Anxious mood;Insomnia;Pain;Depressed mood","Cholestyramine;
more
;Chlorella;Valerian;Activated charcoal;Acupuncture;American ginseng;Amphotericin B;Apitherapy;Ashwagandha (Withania somnifera);B Complex injection","<20;0;20s;1;30s;9;40s;14;50s;9;60s;8;70+;0","Female=90%;Male=10%",454
"455","Transient ischemic attack","A transient ischemic attack (TIA) is where a patient experiences stroke like symptoms for a short period of time, usually under 24 hours. It is usually caused by some kind of temporary disturbance of blood supply to some area of the brain and it can be considered a warning sign of a true stroke.","Fatigue;Pain;Depressed mood;Insomnia;Anxious mood","Aspirin;Alprazolam;Aspirin-Dipyridamol;Duloxetine;
more
;Amitriptyline;
more
;Atorvastatin;Clopidogrel;Cyclobenzaprine;Amantadine;Amphetamine-Dextroamphetamine","<20;0;20s;7;30s;24;40s;60;50s;117;60s;80;70+;32","Female=75%;Male=25%",455
"456","Nephropathy C1q","C1q Nephropathy is a kidney disease in which a large amount of protein is lost in the urine. It is one of the many diseases that can cause the Nephrotic Syndrome","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","","<20;0;20s;0;30s;3;40s;1;50s;6;60s;1;70+;0","Female=91%;Male=9%",456
"457","Sensorineural Hearing Loss","Sensorineural deafness is hearing loss that occurs from damage to the inner ear, the nerve that runs from the ear to the brain (auditory nerve), or the brain.","","","NA","NA=NA;NA=NA",457
"458","Seasonal affective disorder","Seasonal affective disorder (SAD) is episodes of depression that occur at a certain time of the year, usually during winter.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Light Therapy (Phototherapy);
more
;Sertraline;
more
;Fluoxetine;Trazodone;
more
;Bupropion;
more
;Clonazepam;
more
;Duloxetine;
more
;Gabapentin;
more
;Hydroxyzine;Lorazepam","<20;6;20s;81;30s;123;40s;176;50s;198;60s;102;70+;19","Female=83%;Male=17%",458
"459","Cyclic vomiting syndrome","Cyclic vomiting syndrome is a disorder characterized by severe, discrete attacks of vomiting or sometimes only nausea that occur at varying intervals, with normal health between episodes.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Lorazepam;Alprazolam;Amphetamine-Dextroamphetamine;Capsaicin topical;Citalopram;Diphenhydramine;Gabapentin;Hydrocodone-Acetaminophen;Ketorolac;Medical marijuana","<20;4;20s;17;30s;36;40s;22;50s;15;60s;7;70+;1","Female=85%;Male=15%",459
"460","Rib dysfunction","A change in the position or alignment of a rib can put pressure on the soft tissues around where the rib attaches or along edges of the rib where muscles of the thorax attach (sternum) in front or along the side of the spine in back.","Anxious mood;Fatigue;Insomnia;Pain;Depressed mood","Celecoxib;Ibuprofen;Meditation","<20;0;20s;0;30s;3;40s;3;50s;1;60s;2;70+;0","Female=78%;Male=22%",460
"461","Babesiosis","Babesiosis is a vector-borne illness usually transmitted by Ixodes ticks.","Pain;Fatigue;Depressed mood;Insomnia;Anxious mood","Azithromycin;
more
;A-BAB;Artemether-lumefantrine;Atovaquone;Cannabis;Naltrexone;Valerian;Vitamin B12 (methylcobalamin);Acetyl L-Carnitine;Acupuncture","<20;1;20s;13;30s;11;40s;14;50s;9;60s;11;70+;2","Female=74%;Male=26%",461
"462","Hypomania","Hypomania is a less severe form of mania characterized by elevated mood, hyperactivity, and grandiosity. In contrast to mania, these symptoms do not cause significant impairment of the individual`s productivity at work, or social and family relationships.","Anxious mood;Fatigue;Depressed mood;Pain;Insomnia","Quetiapine;
more
;Bupropion;
more
;Gabapentin;
more
;Hydroxyzine;Propranolol;Venlafaxine;Sertraline;
more
;Temazepam;Trazodone;
more
;Acupuncture","<20;1;20s;29;30s;39;40s;25;50s;25;60s;13;70+;3","Female=69%;Male=31%",462
"463","Pulmonary embolism","Pulmonary embolism is a blockage of the main artery of the lung or one of its branches by a substance that has traveled from elsewhere in the body through the bloodstream (embolism). It could be a result of deep vein thrombosis or another condition.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Rivaroxaban;
more
;Warfarin;
more
;Enoxaparin;
more
;Tramadol;Clonazepam;
more
;Pregabalin;
more
;Amitriptyline;
more
;Zolpidem;Hydroxyzine;Lorazepam","<20;0;20s;30;30s;78;40s;134;50s;156;60s;100;70+;33","Female=78%;Male=22%",463
"464","Human papillomavirus infection","Human papillomavirus (HPV) is a sexually transmitted disease of which some types can cause warts (verrucae), while others can lead to cancers of the cervix, vulva, vagina, and anus in women or cancers of the anus and penis in men.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Aripiprazole;Cannabis;Cryotherapy;Gabapentin;Imiquimod topical;Lamotrigine;Lorazepam;Medical marijuana;
more
;Mirtazapine;Sertraline","<20;0;20s;26;30s;63;40s;38;50s;23;60s;8;70+;1","Female=77%;Male=23%",464
"465","Uveitis","Uveitis is swelling and irritation of the uvea, the middle layer of the eye. Many times the cause is not known but in some cases it is due to infections or an underlying systemic condition.","Fatigue;Pain;Depressed mood;Anxious mood;Insomnia","Prednisolone ophthalmic;Meloxicam;Gabapentin;Oxycodone;Tramadol;Trazodone;Acetaminophen (Paracetamol);Acupuncture;Alprazolam;Amitriptyline","<20;2;20s;12;30s;29;40s;32;50s;39;60s;15;70+;1","Female=84%;Male=16%",465
"466","Addison's disease","Addison's disease, a primary hypofunction syndrome, is an insidious, usually progressive hypofunctioning of the adrenal cortex. It is characterized by hypotension (low blood pressure), weight loss, anorexia, weakness, and sometimes a bronze-like melanotic hyperpigmentation of the skin.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Hydrocortisone;
more
;Fludrocortisone;Pregabalin;
more
;Diphenhydramine;Fluoxetine;Gabapentin;Prednisone;Sertraline;Acetaminophen (Paracetamol);Amphetamine-Dextroamphetamine","<20;2;20s;10;30s;40;40s;78;50s;69;60s;36;70+;11","Female=85%;Male=15%",466
"467","Secondary adrenocortical deficiency","Secondary adrenal insufficiency is adrenal hypofunction due to a lack of adrenocorticotropic hormone (ACTH). It occurs in patients with pituitary or hypothalamic involvement. This results in decreased ACTH secretion, which ultimately results in adrenal failure.","Fatigue;Insomnia;Pain;Depressed mood;Anxious mood","Hydrocortisone;Amantadine;Aripiprazole;
more
;Diphenhydramine;Fluoxetine;Pregabalin;Sertraline","<20;0;20s;1;30s;3;40s;4;50s;5;60s;6;70+;2","Female=86%;Male=14%",467
"468","Kidney transplant rejection","Kidney transplant rejection is when a transplant recipient's immune system attacks the transplanted organ or tissue. The risk of acute rejection is highest in the first three months after transplantation. However, acute rejection can also occur months to years after transplantation.","Fatigue;Anxious mood;Depressed mood;Insomnia;Pain","Everolimus;Paroxetine;Plasmapheresis","<20;1;20s;2;30s;15;40s;22;50s;18;60s;12;70+;1","Female=59%;Male=41%",468
"469","Pulmonary fibrosis","Pulmonary fibrosis is a chronic, progressive fibrosing interstitial pneumonia of unknown cause and results in the lungs becoming thick and stiff, or scarred, over time. PF may be caused by medications, exposures, or underlying diseases of the autoimmune system.","Shortness of breath with exertion;Fatigue;Shortness of breath (dyspnea);Chest pain;Cough;Anxious mood;Insomnia;Depressed mood;Memory and cognition problems;Pain","Oxygen therapy;
more
;Pirfenidone;
more
;Nintedanib;
more
;Pulmonary Rehabilitation;
more
;N-Acetylcysteine NAC;
more
;Prednisone;
more
;Azathioprine;
more
;Lung Biopsy;
more
;Albuterol;
more
;Mycophenolate mofetil;
more
","<20;7;20s;86;30s;227;40s;498;50s;978;60s;1,827;70+;2,875","Female=53%;Male=47%",469
"470","Supraventricular tachycardia","Supraventricular tachycardias which originate somewhere above the ventricles, are caused by abnormal circuitry in the heart, usually present at birth, that creates a loop of overlapping signals. Episodes may last only a few seconds or several hours.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Metoprolol;
more
;Tramadol;
more
;Duloxetine;Metoprolol Succinate ER;Sertraline;Amitriptyline;Diltiazem;Nortriptyline;
more
;Clonazepam;Doxepin","<20;5;20s;34;30s;54;40s;83;50s;75;60s;37;70+;5","Female=89%;Male=11%",470
"471","Sinus tachycardia","Sinus tachycardia is a heart rhythm with elevated rate of impulses originating from the sinoatrial node. The normal heart rate is considered to be 60 to 100 beats/min, with sinus tachycardia being defined as a sinus rhythm with a rate exceeding 100 beats/min. However, heart rate varies by age.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Hydrocodone-Acetaminophen;Metoprolol;Lorazepam;Amphetamine-Dextroamphetamine;Clonazepam;Mirtazapine;Tramadol;
more
;Zolpidem;Acetaminophen (Paracetamol);Amitriptyline","<20;3;20s;31;30s;74;40s;66;50s;53;60s;20;70+;6","Female=87%;Male=13%",471
"472","Insomnia","Insomnia refers to a variety of difficulties in obtaining a full, restful night's sleep. Patients suffering from insomnia may have difficulty falling asleep or staying asleep, may wake up frequently during the night, or wake up earlier in the morning than desired.","Unrefreshing or poor sleep;Difficulty sleeping through night;Fatigue;Difficulty falling asleep;Insomnia;Early morning wakefulness;Pain;Anxious mood;Depressed mood","Zolpidem;
more
;Clonazepam;
more
;Trazodone;
more
;Amitriptyline;
more
;Lorazepam;
more
;Gabapentin;
more
;Quetiapine;
more
;Melatonin;
more
;Tramadol;
more
;Sertraline;
more
","<20;37;20s;374;30s;696;40s;894;50s;784;60s;445;70+;114","Female=80%;Male=20%",472
"473","Facet joint osteoarthritis","Osteoarthritis (degenerative arthritis) can cause breakdown of cartilage between the facet joints located in the spine. When the joints move, the lack of the cartilage causes pain as well as loss of motion and stiffness.","Pain;Fatigue;Insomnia;Anxious mood;Depressed mood","Tramadol;
more
;Gabapentin;
more
;Physical Therapy;
more
;Ibuprofen;Cyclobenzaprine;Hydrocodone-Acetaminophen;Medical marijuana;
more
;Pregabalin;
more
;Acetaminophen (Paracetamol);Amphetamine-Dextroamphetamine;
more
","<20;0;20s;14;30s;39;40s;113;50s;171;60s;90;70+;22","Female=91%;Male=9%",473
"474","Androgen deficiency","Androgens are male hormones that affect a host of processes ranging from mental outlook to the growth of structures and organs. Androgen Deficiency, also known as hypogonadism, occurs when these hormones fall below specific age-related levels.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Testosterone;Bupropion;Amantadine;Amitriptyline;Art Therapy;Biotin;
more
;Buspirone;Celecoxib;Chronic Pain Program;Clonazepam","<20;1;20s;3;30s;18;40s;26;50s;39;60s;13;70+;2","Female=14%;Male=86%",474
"475","Atypical migraine","Atypical Migraine, also known as common migraine, is a type of migraine that is not preceded by a sensory disturbance (aura). Clinically this type of migraine is referred to as migraine without aura. Headaches are generally one-sided and may be accompanied by nausea and other debilitating symptoms.","Fatigue;Pain;Anxious mood;Insomnia;Depressed mood","Sumatriptan;
more
;Gabapentin;Diclofenac;Naproxen Prescription;
more
;Rizatriptan;Sertraline;Temazepam;Tramadol;Zolpidem;Amphetamine-Dextroamphetamine;
more
","<20;5;20s;15;30s;74;40s;111;50s;117;60s;45;70+;8","Female=88%;Male=12%",475
"476","Cerebral edema","Cerebral edema is a disorder characterized by swelling due to an excessive accumulation of fluid in the brain.","Anxious mood;Depressed mood;Fatigue;Insomnia;Pain","Brain tumor removal / resection;Dexamethasone","<20;0;20s;0;30s;0;40s;1;50s;2;60s;3;70+;0","Female=60%;Male=40%",476
"477","Pituitary deficiency","Hypopituitarism is the decreased secretion of one or more of the eight hormones normally produced by the pituitary gland at the base of the brain. Treatment is replacement of the hormones of the hypofunctioning target glands and/or attention to tumor if present in gland.","Fatigue;Anxious mood;Depressed mood;Pain;Insomnia","Human Growth Hormone;Hydrocortisone;Amitriptyline;Bioidentical hormones;Clomiphene;Cortisone;Diazepam;Estradiol;Fentanyl patch;HCG Human Chorionic Gonadotropin","<20;5;20s;7;30s;18;40s;31;50s;27;60s;16;70+;4","Female=70%;Male=30%",477
"478","Primary amenorrhea","Primary amenorrhea is the failure of menstruation to occur by the age of 16 or 2 yr after the onset of puberty or by about age 14 in girls who have not yet gone through puberty. Treatments vary based on the underlying condition.","Depressed mood;Fatigue;Anxious mood;Insomnia;Pain","Celecoxib;
more
;Debridement;Duloxetine;Lateral Release;Meloxicam;Pregabalin;
more
;Tramadol;Zolpidem","<20;0;20s;9;30s;12;40s;6;50s;1;60s;2;70+;0","Female=93%;Male=7%",478
"479","Reactive airways dysfunction syndrome","Reactive Airways Dysfunction Syndrome is a term used to describe an asthma-like syndrome that may be used to describe a history of coughing, wheezing or shortness of breath of unknown cause. It has also been associated with symptoms following exposure to certain irritants (vapor, fume, chemicals).","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Albuterol;Amitriptyline;Amphetamine-Dextroamphetamine;
more
;Tramadol;Acetaminophen (Paracetamol);Alprazolam;Azelastine;Budesonide;Budesonide-Formoterol;Buspirone","<20;3;20s;3;30s;20;40s;22;50s;15;60s;19;70+;3","Female=79%;Male=21%",479
"480","Bile acid malabsorption syndrome","Patients with bile acid malabsorption typically present with chronic, watery diarrhea due to a larger amount of bile acids being spilled into the colon, where the acids stimulate electrolyte and water secretion, which results in loose to watery stools.","Fatigue;Pain;Anxious mood;Depressed mood;Insomnia","Cholestyramine;Amitriptyline;Handicap/Disability Parking Permit;Hydrocodone-Acetaminophen;Hydroxyzine;Lamotrigine;Quetiapine;
more
;Tramadol;Trazodone;Ultrasound (Sonogram)","<20;1;20s;4;30s;6;40s;15;50s;10;60s;7;70+;4","Female=80%;Male=20%",480
"481","Chromosome 18q- syndrome","Chromosome 18q- syndrome is a rare chromosomal disorder in which there is deletion of part of the long arm (q) of chromosome 18. Associated symptoms and findings may vary greatly in range and severity from case to case.","Anxious mood;Insomnia;Depressed mood;Fatigue;Pain","","<20;2;20s;0;30s;0;40s;1;50s;0;60s;0;70+;0","Female=0%;Male=100%",481
"482","Surgical menopause","Surgical menopause occurs following an oophorectomy (removal of ovaries). The absence of ovaries and hormones can lead to sudden and severe onset of menopausal symptoms.","Fatigue;Pain;Insomnia;Depressed mood;Anxious mood","Buprenorphine patch;Diazepam;Amitriptyline;Chiropractic Therapy;Clonazepam;Clonidine;Cyclobenzaprine;Estradiol;Fluoxetine;Levothyroxine","<20;0;20s;1;30s;27;40s;46;50s;58;60s;28;70+;4","Female=98%;Male=2%",482
"483","Idiopathic adhesive capsulitis","Adhesive capsulitis is a chronic fibrosing condition characterized by insidious and progressive severe restriction of both active and passive shoulder range of motion in the absence of a known intrinsic disorder of the shoulder.","Fatigue;Pain;Insomnia;Anxious mood;Depressed mood","Ibuprofen;Meloxicam;Tramadol;
more
;Bupropion;Citalopram;Cyclobenzaprine;Diclofenac;Hydrocodone-Acetaminophen;
more
;Naproxen Prescription;Pregabalin","<20;0;20s;1;30s;7;40s;30;50s;53;60s;24;70+;3","Female=73%;Male=28%",483
